_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
72752,1,PO-00022,318,Richmond St W,Richmond St W,North,Widmer St,East,7304.0,10,Toronto Entertainment District,PPC,Existing,M2007304,0,313514.721,4834337.298,-79.39197013100001,43.648927395,"{u'type': u'Point', u'coordinates': (-79.3919701318, 43.6489273976)}"
72753,2,PO-00027,352,Adelaide St W,Adelaide St W,North,Peter St,West,7309.0,10,Toronto Entertainment District,PPC,Existing,M2007309,0,313396.842,4834151.608,-79.393434339,43.647257309,"{u'type': u'Point', u'coordinates': (-79.393434342, 43.6472573086)}"
72754,3,PO-00029,240,Adelaide St W,Adelaide St W,North,Duncan St,East,7311.0,10,Toronto Entertainment District,PPC,Existing,M2007311,0,313797.451,4834268.551,-79.38846649199999,43.648305211,"{u'type': u'Point', u'coordinates': (-79.3884664913, 43.6483052162)}"
72755,4,PO-00032,174,Front St W,Front St W,North,Simcoe St,East,7320.0,10,Toronto Entertainment District,PPC,Existing,M2007320,0,314102.086,4833892.107,-79.384696689,43.644912968,"{u'type': u'Point', u'coordinates': (-79.3846966874, 43.6449129656)}"
72756,5,PO-00034,270,Front St W,Front St W,North,John St,East,7322.0,10,Toronto Entertainment District,PPC,Existing,M2007322,0,313815.57,4833807.853,-79.38824957199999,43.644158088000005,"{u'type': u'Point', u'coordinates': (-79.3882495742, 43.6441580926)}"
72757,6,PO-00116,1950,Lawrence Ave E,Lawrence Ave E,North,Tower Dr,West,3370.0,21,,PPC,Existing,M3703370,0,320954.278,4844973.845,-79.29942907899999,43.744545081000005,"{u'type': u'Point', u'coordinates': (-79.2994290748, 43.7445450842)}"
72758,7,PO-00170,49,Front St E,Front St E,North,Church St,West,6836.0,13,St. Lawrence Market Neighbourhood,PPC,Temporarily Removed,M2806836,0,314918.269,4834254.406,-79.374572995,43.648163487,"{u'type': u'Point', u'coordinates': (-79.3745729895, 43.6481634923)}"
72759,8,PO-01108,5125,Sheppard Ave E,Markham Rd,South,Sheppard Ave E,West,14558.0,23,Sheppard East Village,PPC,Existing,M4214558,0,325792.99100000004,4850442.393999999,-79.239138489,43.793646724,"{u'type': u'Point', u'coordinates': (-79.2391384938, 43.7936467225)}"
72760,9,PO-01109,,,Birchmount Rd,East,Kingston Rd,North,14625.0,20,,PPC,Existing,M3614625,0,323947.82300000003,4839322.524,-79.262462666,43.693605288,"{u'type': u'Point', u'coordinates': (-79.2624626654, 43.6936052897)}"
72761,10,PO-01111,,,Kingston Rd,North,McCowan Rd,East,14627.0,20,,PPC,Existing,M3614627,0,326374.826,4842878.833000001,-79.23221243100001,43.725549693999994,"{u'type': u'Point', u'coordinates': (-79.2322124288, 43.7255496985)}"
72762,11,PO-01112,,,Eglinton Ave E,North,Bellamy Rd N,East,14628.0,21,,PPC,Existing,M3514628,0,326403.86600000004,4844539.271000001,-79.231785288,43.740494672,"{u'type': u'Point', u'coordinates': (-79.2317852926, 43.7404946749)}"
72763,12,PO-01113,,,Port Union Rd,East,Lawrence Ave E,North,14622.0,25,,PPC,Existing,M4414622,0,334051.43100000004,4848950.166,-79.136601225,43.779934935,"{u'type': u'Point', u'coordinates': (-79.1366012263, 43.7799349413)}"
72764,13,PO-01083,,,Manse Rd,West,Mansewood Gdns,South,14373.0,25,,PPC,Existing,M4414373,0,330906.30100000004,4847717.776000001,-79.175733355,43.768959726999995,"{u'type': u'Point', u'coordinates': (-79.1757333534, 43.7689597267)}"
72765,14,PO-00259,370,Broadview Ave,Gerrard St E,North,Broadview Ave,West,8162.0,14,,PPC,Existing,M3008162,0,316658.054,4836185.09,-79.352964118,43.665516499,"{u'type': u'Point', u'coordinates': (-79.3529641172, 43.6655165025)}"
72766,15,PO-00462,155,Bonis Ave,Bonis Ave,South,Kennedy Ave,West,8339.0,22,,PPC,Existing,M4008339,0,321433.775,4849537.869,-79.29333431100001,43.78561581100001,"{u'type': u'Point', u'coordinates': (-79.2933343136, 43.7856158162)}"
72767,16,PO-00496,270,Heath St W,Heath St W,North,Lonsmount Dr,East,8029.0,12,,PPC,Existing,M2108029,0,311555.437,4838458.036,-79.416206293,43.686039863999994,"{u'type': u'Point', u'coordinates': (-79.4162062964, 43.6860398702)}"
72768,17,PO-00128,341,Oakwood Ave,Oakwood Ave,East,Holland Park Ave,North,6751.0,12,Oakwood Village,PPC,Existing,M1506751,0,309769.293,4838507.937,-79.438360955,43.686503135,"{u'type': u'Point', u'coordinates': (-79.4383609569, 43.6865031377)}"
72769,18,PO-00790,1785,Finch Ave W,Finch Ave W,South,Tobermory Dr,East,13835.0,7,,PPC,Existing,M0813835,0,304214.901,4846595.223999999,-79.507266361,43.759315188,"{u'type': u'Point', u'coordinates': (-79.5072663553, 43.7593151904)}"
72770,20,PO-00794,,,Lariviere Rd,West,Patricia Ave,North,13838.0,18,,PPC,Existing,M2313838,0,311163.01300000004,4850050.025,-79.420936706,43.790385306000005,"{u'type': u'Point', u'coordinates': (-79.4209367011, 43.790385307)}"
72771,21,PO-00798,410,Martin Grove Rd,Martin Grove Rd,West,Millburn Dr,South,13818.0,2,,PPC,Existing,M0313818,0,300088.191,4835990.373,-79.55842323,43.663843422,"{u'type': u'Point', u'coordinates': (-79.5584232275, 43.6638434225)}"
72772,22,PO-00801,1507,Lawrence Ave W,Lawrence Ave W,South,Pimlico Rd,East,13839.0,5,,PPC,Existing,M1213839,0,306275.049,4840848.835,-79.481697096,43.707589387,"{u'type': u'Point', u'coordinates': (-79.4816970994, 43.7075893871)}"
72773,23,PO-00802,1565,Lawrence Ave W,Lawrence Ave W,South,Culford Rd,East,13840.0,5,,PPC,Existing,M1213840,0,305933.325,4840744.115,-79.485937542,43.70664737600001,"{u'type': u'Point', u'coordinates': (-79.4859375451, 43.7066473743)}"
72774,24,PO-00804,110,Rumsey Rd,Rumsey Rd,West,McRae Dr,South,13823.0,15,,PPC,Existing,M2613823,0,315523.148,4840648.012,-79.366947773,43.705705746999996,"{u'type': u'Point', u'coordinates': (-79.3669477705, 43.7057057535)}"
72775,25,PO-00805,165,McRae Dr,McRae Dr,West,Crandall Rd,North,13824.0,15,,PPC,Existing,M2613824,0,315451.86199999996,4840723.028,-79.36783079199999,43.706382014,"{u'type': u'Point', u'coordinates': (-79.3678307973, 43.7063820173)}"
72776,26,PO-00806,181,Cleveland St,Cleveland St,East,Belsize Dr,North,13825.0,15,,PPC,Existing,M2213825,0,314589.507,4840580.254,-79.378533543,43.705108742,"{u'type': u'Point', u'coordinates': (-79.3785335412, 43.7051087439)}"
72777,27,PO-00810,145,Annette St,Annette St,South,Medland St,West,13828.0,4,,PPC,Existing,M1313828,0,307505.286,4835939.812,-79.46645653899999,43.66339831,"{u'type': u'Point', u'coordinates': (-79.4664565409, 43.6633983139)}"
72778,28,PO-00811,75,Kathrose Dr,Kathrose Dr,West,Clydesdale Dr,North,13842.0,17,,PPC,Existing,M3313842,0,318592.432,4849316.545,-79.328641993,43.783682031000005,"{u'type': u'Point', u'coordinates': (-79.3286419872, 43.7836820364)}"
72779,29,PO-00812,210,Brookbanks Dr,Brookbanks Dr,North,Fenside Dr,East,13843.0,16,,PPC,Existing,M3413843,0,318839.941,4846626.283,-79.325637297,43.759461993,"{u'type': u'Point', u'coordinates': (-79.3256372998, 43.7594619922)}"
72780,30,PO-00814,2520,Birchmount Rd,Birchmount Rd,West,Huntingwood Dr,South,13845.0,22,,PPC,Existing,M4013845,0,320801.31899999996,4849751.011,-79.301185835,43.787548261000005,"{u'type': u'Point', u'coordinates': (-79.3011858322, 43.7875482655)}"
72781,31,PO-00816,1076,Ellesmere Rd,Ellesmere Rd,North,Midland Ave,West,13847.0,21,,PPC,Existing,M3713847,0,323120.637,4847563.787,-79.272443514,43.767807105,"{u'type': u'Point', u'coordinates': (-79.2724435122, 43.767807107)}"
72782,32,PO-00817,1299,Ellesmere Rd,Ellesmere Rd,South,Birkdale Rd,East,13848.0,21,,PPC,Existing,M3713848,0,323753.503,4847724.682,-79.26457721,43.769239418000005,"{u'type': u'Point', u'coordinates': (-79.264577211, 43.7692394183)}"
72783,33,PO-00819,140,Commander Blvd,Commander Blvd,East,Huntingwood Dr,South,13850.0,23,,PPC,Existing,M4113850,0,323424.605,4850578.005,-79.26856338399999,43.794930748,"{u'type': u'Point', u'coordinates': (-79.2685633888, 43.7949307472)}"
72784,34,PO-00821,125,Milner Ave,Milner Ave,South,Executive Crt,West,13851.0,23,,PPC,Existing,M4213851,0,325194.716,4849481.671,-79.246609194,43.785015924,"{u'type': u'Point', u'coordinates': (-79.2466091955, 43.7850159296)}"
72785,35,PO-00823,180,McLevin Ave,McLevin Ave,North,Shepmore Ter,East,13852.0,23,,PPC,Existing,M4213852,0,326487.88399999996,4851549.265,-79.230458977,43.803589665,"{u'type': u'Point', u'coordinates': (-79.2304589766, 43.8035896641)}"
72786,50,PO-00847,2155,Lawrence Ave E,Birchmount Rd,West,Lawrence Ave E,South,,21,Wexford Heights,Collar,Existing,,0,322114.815,4845285.782,-79.285009941,43.747326679,"{u'type': u'Point', u'coordinates': (-79.2850099378, 43.7473266818)}"
72787,59,PO-00498,40,Gordonridge Pl,Danforth Rd,East,Gordonridge Pl,North,8431.0,20,,PPC,Existing,M3508431,0,324750.06,4843119.772,-79.25236996,43.727763894,"{u'type': u'Point', u'coordinates': (-79.2523699596, 43.7277638953)}"
72788,64,PO-00777,18,Ourland Ave,Ourland Ave,West,Merriday St,South,13791.0,3,,PPC,Existing,M0613791,0,304158.26399999997,4830615.071,-79.507950714,43.61547295,"{u'type': u'Point', u'coordinates': (-79.5079507092, 43.615472949)}"
72789,65,PO-00778,3500,Lake Shore Blvd W,Lake Shore Blvd W,North,Thirty Second St,West,13803.0,3,,PPC,Existing,M0613803,0,302275.743,4828355.455,-79.531263431,43.59512917,"{u'type': u'Point', u'coordinates': (-79.5312634341, 43.5951291698)}"
72790,67,PO-00783,160,Ledbury St,Ledbury St,West,St Germain Ave,South,13809.0,8,,PPC,Existing,M1613809,0,310912.623,4843070.102,-79.424127335,43.72755986,"{u'type': u'Point', u'coordinates': (-79.424127339, 43.7275598616)}"
72791,68,PO-00784,35,Glen Long Ave,Glengrove Ave,North,Haven Rd,East,13810.0,8,,PPC,Existing,M1513810,0,308316.517,4840951.392,-79.45636522,43.708505662,"{u'type': u'Point', u'coordinates': (-79.4563652182, 43.7085056672)}"
72792,70,PO-00786,16,Bradstock Rd,Bradstock Rd,North,Weston Rd,East,13815.0,7,Emery Village,PPC,Existing,M0713815,0,301663.476,4844358.5139999995,-79.538939486,43.739175705,"{u'type': u'Point', u'coordinates': (-79.5389394906, 43.7391757033)}"
72793,71,PO-00787,23,Grandravine Dr,Grandravine Dr,South,Sharpecroft Blvd,West,13832.0,6,,PPC,Existing,M0813832,0,305595.00800000003,4845808.333000001,-79.49012795,43.752232035,"{u'type': u'Point', u'coordinates': (-79.4901279455, 43.752232036)}"
72794,72,PO-00788,15,Clubhouse Crt,Clubhouse Crt,North,Arleta Ave,East,13833.0,7,,PPC,Existing,M0913833,0,304749.4,4845026.147,-79.500628249,43.745191845,"{u'type': u'Point', u'coordinates': (-79.5006282546, 43.7451918434)}"
72795,73,PO-00002,411,Queen St W,Queen St W,South,Peter St,West,7284.0,10,Queen Street West,PPC,Existing,M2007284,0,313282.297,4834343.363,-79.394851219,43.648984678000005,"{u'type': u'Point', u'coordinates': (-79.3948512179, 43.6489846772)}"
72796,74,PO-00008,275,Queen St W,Queen St W,South,Duncan St,West,7290.0,10,Queen Street West,PPC,Existing,M2007290,0,313691.357,4834464.541999999,-79.38977842199999,43.650070676000006,"{u'type': u'Point', u'coordinates': (-79.3897784171, 43.6500706747)}"
72797,75,PO-00010,180,Queen St W,Queen St W,North,Simcoe St,West,7292.0,10,Queen Street West,PPC,Existing,M2007292,0,313831.655,4834522.722,-79.388038242,43.650592681999996,"{u'type': u'Point', u'coordinates': (-79.3880382453, 43.6505926827)}"
72798,76,PO-00012,232,Queen St W,Queen St W,North,Mc Caul St,West,7294.0,10,Queen Street West,PPC,Existing,M2007294,0,313662.67699999997,4834472.084,-79.39013383,43.650138905,"{u'type': u'Point', u'coordinates': (-79.3901338239, 43.6501389051)}"
72799,77,PO-00016,296,Queen St W,Queen St W,North,Soho St,East,7298.0,10,Queen Street West,PPC,Existing,M2007298,0,313419.443,4834406.456,-79.393150117,43.64955102,"{u'type': u'Point', u'coordinates': (-79.3931501162, 43.6495510228)}"
72800,78,PO-00019,372,Queen St W,Queen St W,North,Spadina Ave,East,7301.0,10,Queen Street West,PPC,Existing,M2007301,0,313203.788,4834343.77,-79.395824433,43.648989233,"{u'type': u'Point', u'coordinates': (-79.3958244282, 43.6489892318)}"
72801,79,PO-00023,205,Richmond St W,Richmond St W,South,Duncan St,East,7305.0,10,Toronto Entertainment District,PPC,Existing,M2007305,0,313762.26399999997,4834394.138,-79.388900586,43.649436091000005,"{u'type': u'Point', u'coordinates': (-79.3889005892, 43.6494360931)}"
72802,80,PO-00026,263,Adelaide St W,Adelaide St W,South,John St,East,7308.0,10,Toronto Entertainment District,PPC,Existing,M2007308,0,313710.557,4834226.297,-79.38954433,43.647925916999995,"{u'type': u'Point', u'coordinates': (-79.389544335, 43.6479259191)}"
72803,81,PO-00033,200,Front St W,Front St W,North,Simcoe St,West,7321.0,10,Toronto Entertainment District,PPC,Existing,M2007321,0,314062.30100000004,4833891.14,-79.385189849,43.644904758,"{u'type': u'Point', u'coordinates': (-79.385189855, 43.6449047577)}"
72804,82,PO-00035,299,Front St W,Front St W,South,John St,West,7323.0,10,Toronto Entertainment District,PPC,Existing,M2007323,0,313752.159,4833770.103999999,-79.38903619,43.64381906,"{u'type': u'Point', u'coordinates': (-79.3890361946, 43.6438190661)}"
72805,83,PO-00038,205,Wellington St W,Wellington St W,South,John St,East,7326.0,10,Toronto Entertainment District,PPC,Existing,M2007326,0,313859.939,4833958.873,-79.38769707600001,43.645516937,"{u'type': u'Point', u'coordinates': (-79.3876970771, 43.6455169379)}"
72806,84,PO-00042,415,King St W,King St W,South,Spadina Ave,East,7375.0,10,Toronto Entertainment District,PPC,Temporarily Removed,M2007375,0,313297.984,4833950.845,-79.394662927,43.645451304,"{u'type': u'Point', u'coordinates': (-79.3946629325, 43.6454513059)}"
72807,85,PO-00045,214,Wellington St W,King St W,South,John St,East,7378.0,10,Toronto Entertainment District,PPC,Existing,M2007378,0,313751.287,4834086.848,-79.38904175399999,43.646670196,"{u'type': u'Point', u'coordinates': (-79.3890417556, 43.646670201)}"
72808,86,PO-00049,147,Spadina Ave,Spadina Ave,East,Richmond St W,North,7382.0,10,Toronto Entertainment District,PPC,Existing,M2007382,0,313196.598,4834238.513,-79.395915195,43.648041858999996,"{u'type': u'Point', u'coordinates': (-79.3959151933, 43.648041858)}"
72809,87,PO-00052,283,Adelaide St W,John St,East,Adelaide St W,South,7385.0,10,Toronto Entertainment District,PPC,Temporarily Removed,M2007385,0,313664.23,4834198.81,-79.390119059,43.64767905,"{u'type': u'Point', u'coordinates': (-79.3901190565, 43.6476790525)}"
72810,88,PO-00054,46,Charlotte St,Charlotte St,West,Adelaide St W,South,7387.0,10,Toronto Entertainment District,PPC,Existing,M2007387,0,313340.13899999997,4834109.487,-79.394137896,43.646878817,"{u'type': u'Point', u'coordinates': (-79.3941378918, 43.6468788158)}"
72811,89,PO-00167,1081,Progress Ave,Progress Ave,East,Sheppard Ave E,South,1553.0,23,,PPC,Existing,M4201553,0,326149.287,4850516.071,-79.23470822899999,43.7942997,"{u'type': u'Point', u'coordinates': (-79.2347082284, 43.7942997011)}"
72812,90,PO-00171,,,Oakwood Ave,East,Eleanor Ave,South,7201.0,12,Oakwood Village,PPC,Existing,M1507201,0,309598.695,4839153.254,-79.440471312,43.692312946,"{u'type': u'Point', u'coordinates': (-79.4404713064, 43.6923129477)}"
72813,91,PO-00175,3003,Danforth Ave,Danforth Ave,South,Victoria Park Ave,West,6655.0,19,Danforth Village,PPC,Existing,M3206655,0,321835.097,4839033.646000001,-79.288680925,43.691056485,"{u'type': u'Point', u'coordinates': (-79.2886809229, 43.6910564907)}"
72814,92,PO-00179,1446,Dundas St W,Dundas St W,North,Gladstone Ave,West,7948.0,9,Little Portugal,PPC,Existing,M1807948,0,310417.92699999997,4834415.66,-79.430357911,43.649662588999995,"{u'type': u'Point', u'coordinates': (-79.4303579166, 43.649662594)}"
72815,93,PO-00181,1735,Dundas St W,Dundas St W,South,Lansdowne Ave,East,7950.0,9,Little Portugal,PPC,Existing,M1807950,0,309700.095,4834458.077,-79.439256058,43.650049473,"{u'type': u'Point', u'coordinates': (-79.4392560608, 43.6500494793)}"
72816,94,PO-00193,25,Harbord St,Harbord St,South,St George St,West,8112.0,11,,PPC,Existing,M2008112,0,312953.904,4835976.6,-79.39889739899999,43.66368966899999,"{u'type': u'Point', u'coordinates': (-79.398897395, 43.6636896672)}"
72817,95,PO-00195,85,St George St,St George St,East,Hoskin Ave,South,8114.0,11,,PPC,Existing,M2008114,0,313013.646,4835964.46,-79.398156824,43.663579728,"{u'type': u'Point', u'coordinates': (-79.3981568226, 43.6635797335)}"
72818,96,PO-00197,2,Sussex Ave,Sussex Ave,North,St George St,West,8116.0,11,,PPC,Existing,M2008116,0,312928.164,4836170.212,-79.399213638,43.665432714,"{u'type': u'Point', u'coordinates': (-79.3992136365, 43.6654327135)}"
72819,97,PO-00200,360,Huron St,Huron St,West,Glen Morris St,South,8132.0,11,,PPC,Existing,M2008132,0,312832.674,4836033.265,-79.40039971600001,43.664201041000005,"{u'type': u'Point', u'coordinates': (-79.4003997151, 43.6642010469)}"
72820,98,PO-00201,369,Huron St,Huron St,East,Sussex Ave,South,8133.0,11,,PPC,Existing,M2008133,0,312834.793,4836067.86,-79.400372923,43.664512423000005,"{u'type': u'Point', u'coordinates': (-79.4003729259, 43.6645124249)}"
72821,99,PO-00203,85,St George St,Hoskin Ave,South,St George St,East,8135.0,11,,PPC,Existing,M2008135,0,313005.935,4836019.466,-79.398251591,43.664074948,"{u'type': u'Point', u'coordinates': (-79.3982515969, 43.6640749456)}"
72822,100,PO-00207,180,Huron St,Huron St,West,College St,South,8062.0,11,,PPC,Existing,M2008062,0,313024.613,4835318.6110000005,-79.398030685,43.65776611,"{u'type': u'Point', u'coordinates': (-79.3980306794, 43.6577661118)}"
72823,101,PO-00209,200,College St,College St,North,St George St,East,8064.0,11,,PPC,Existing,M2008064,0,313236.03,4835442.133,-79.39540759399999,43.658875603,"{u'type': u'Point', u'coordinates': (-79.3954075911, 43.6588756064)}"
72824,102,PO-00211,167,College St,Mc Caul St,West,College St,South,8066.0,11,,PPC,Existing,M2008066,0,313391.81899999996,4835450.448,-79.393475944,43.658948663000004,"{u'type': u'Point', u'coordinates': (-79.3934759437, 43.6589486689)}"
72825,103,PO-00213,183,College St,College St,South,Henry St,East,8068.0,11,,PPC,Existing,M2008068,0,313318.549,4835447.686000001,-79.394384404,43.658924643999995,"{u'type': u'Point', u'coordinates': (-79.3943844101, 43.6589246502)}"
72826,104,PO-00220,766,College St,College St,North,Shaw St,East,8155.0,11,Little Italy,PPC,Existing,M1908155,0,311244.81899999996,4835008.655,-79.420100368,43.654993643000005,"{u'type': u'Point', u'coordinates': (-79.4201003638, 43.6549936449)}"
72827,105,PO-00223,235,Bloor St W,Bloor St W,South,Queen's Park,West,8124.0,11,,PPC,Existing,M2008124,0,313207.059,4836485.478,-79.395750537,43.668267421,"{u'type': u'Point', u'coordinates': (-79.3957505315, 43.6682674225)}"
72828,106,PO-00225,315,Bloor St W,Bloor St W,South,Devonshire Pl,West,8127.0,11,,PPC,Existing,M2008127,0,312963.286,4836416.9860000005,-79.398774401,43.66765362100001,"{u'type': u'Point', u'coordinates': (-79.3987744042, 43.6676536209)}"
72829,107,PO-00227,100,St George St,Huron St,East,Willcocks St,North,8130.0,11,,PPC,Existing,M2008130,0,312919.403,4835779.528,-79.399328144,43.661916135,"{u'type': u'Point', u'coordinates': (-79.3993281464, 43.6619161351)}"
72830,108,PO-00231,325,Bleecker St,Bleecker St,East,St James Ave,North,8121.0,13,,PPC,Existing,M2808121,0,314928.408,4836563.969,-79.374403978,43.668952481999995,"{u'type': u'Point', u'coordinates': (-79.3744039804, 43.6689524855)}"
72831,109,PO-00235,295,Shuter St,Parliament St,West,Shuter St,South,8119.0,13,,PPC,Existing,M2808119,0,315690.201,4835202.165,-79.364984964,43.656683687,"{u'type': u'Point', u'coordinates': (-79.364984963, 43.6566836872)}"
72832,110,PO-00239,222,Spadina Ave,Spadina Ave,West,Sullivan St,North,8139.0,10,Chinatown,PPC,Existing,M2008139,0,313063.918,4834594.3319999995,-79.39755445899999,43.65124619,"{u'type': u'Point', u'coordinates': (-79.3975544574, 43.6512461943)}"
72833,111,PO-00243,285,Spadina Ave,Spadina Ave,East,Dundas St W,North,8143.0,11,Chinatown,PPC,Existing,M2008143,0,313032.83,4834804.3780000005,-79.397936639,43.653137234,"{u'type': u'Point', u'coordinates': (-79.3979366445, 43.6531372354)}"
72834,112,PO-00222,150,Grenoble Dr,Grenoble Dr,East,Spanbridge Rd,North,8203.0,16,,PPC,Existing,M3408203,0,318762.13300000003,4841491.367,-79.32673692,43.713243135,"{u'type': u'Point', u'coordinates': (-79.3267369171, 43.7132431379)}"
72835,113,PO-00245,260,College St,College St,North,Spadina Ave,East,8146.0,11,,PPC,Existing,M2008146,0,312887.088,4835352.112,-79.399735221,43.658069175,"{u'type': u'Point', u'coordinates': (-79.3997352195, 43.6580691738)}"
72836,114,PO-00247,45,Willcocks St,Spadina Ave,East,Willcocks St,South,8147.0,11,,PPC,Existing,M2008147,0,312771.937,4835694.3719999995,-79.40115781899999,43.66115121,"{u'type': u'Point', u'coordinates': (-79.4011578208, 43.6611512134)}"
72837,115,PO-00251,666,Spadina Ave,Spadina Ave,South,Sussex Ave,West,8151.0,11,,PPC,Existing,M2008151,0,312645.39,4836032.683999999,-79.402721923,43.664197815,"{u'type': u'Point', u'coordinates': (-79.4027219282, 43.6641978169)}"
72838,116,PO-00255,160,College St,College St,North,Mc Caul St,East,8158.0,11,,PPC,Existing,M2008158,0,313474.54600000003,4835515.243,-79.392449225,43.65953095,"{u'type': u'Point', u'coordinates': (-79.3924492292, 43.6595309498)}"
72839,117,PO-00258,763,Bay St,Bay St,West,College St,South,8161.0,11,Downtown Yonge,PPC,Existing,M2708161,0,314043.69399999996,4835568.072,-79.385391794,43.65999962,"{u'type': u'Point', u'coordinates': (-79.3853917953, 43.6599996242)}"
72840,118,PO-00266,118,Jones Ave,Jones Ave,West,Dundas St E,South,8169.0,14,,PPC,Existing,M3008169,0,318159.783,4836242.967,-79.33434182399999,43.666012003,"{u'type': u'Point', u'coordinates': (-79.3343418223, 43.6660120028)}"
72841,119,PO-00269,2662,Bloor St W,Bloor St W,North,Old Mill Trl,East,8176.0,3,,PPC,Existing,M0508176,0,305202.924,4834403.52,-79.495005202,43.64957442,"{u'type': u'Point', u'coordinates': (-79.4950051992, 43.6495744216)}"
72842,120,PO-00061,927A,Bloor St W,Bloor St W,South,Concord Ave,West,6182.0,9,Bloorcourt Village,PPC,Existing,M1906182,0,310668.437,4835735.607,-79.427238153,43.661541956,"{u'type': u'Point', u'coordinates': (-79.4272381518, 43.6615419593)}"
72843,121,PO-00062,750,Bloor St W,Christie St,West,Barton Ave,South,6834.0,11,,PPC,Existing,M1906834,0,311275.993,4836283.452,-79.419698595,43.666468252,"{u'type': u'Point', u'coordinates': (-79.4196985924, 43.6664682504)}"
72844,122,PO-00065,726,Bloor St W,Bloor St W,North,Christie St,East,6095.0,11,Korea Town,PPC,Existing,M2006095,0,311397.753,4835975.166999999,-79.418192555,43.663692206,"{u'type': u'Point', u'coordinates': (-79.4181925554, 43.6636922052)}"
72845,123,PO-00067,819,Palmerston Ave,Olive Ave,North,Palmerston Ave,East,6831.0,11,,PPC,Existing,M2006831,0,311635.18100000004,4836670.642,-79.415239815,43.669950258,"{u'type': u'Point', u'coordinates': (-79.415239812, 43.6699502573)}"
72846,124,PO-00078,,,Steeles Ave W,North,Yonge St,West,6061.0,18,,PPC,Existing,M2306061,0,311199.576,4850905.626,-79.420472179,43.798086361,"{u'type': u'Point', u'coordinates': (-79.4204721774, 43.7980863635)}"
72847,125,PO-00085,1292,Danforth Ave,Danforth Ave,North,Linsmore Cres,West,6204.0,14,THE DANNY Danforth Mosaic,PPC,Existing,M2906204,0,318498.331,4838027.779,-79.330098604,43.682071442,"{u'type': u'Point', u'coordinates': (-79.3300986057, 43.6820714424)}"
72848,126,PO-00087,5200,Finch Ave W,Finch Ave W,North,Kipling Ave,West,5524.0,1,,PPC,Existing,M0105524,0,298140.875,4844824.054,-79.582677801,43.743342862,"{u'type': u'Point', u'coordinates': (-79.5826778044, 43.7433428608)}"
72849,127,PO-00090,5200,Finch Ave W,Kipling Ave,West,Finch Ave W,North,5525.0,1,,PPC,Existing,M0105525,0,298158.094,4844854.393,-79.582464396,43.74361609899999,"{u'type': u'Point', u'coordinates': (-79.5824643933, 43.7436161028)}"
72850,128,PO-00092,555,Dixon Rd,Dixon Rd,South,Martin Grove Rd,West,5985.0,1,,PPC,Existing,M0205985,0,299061.25399999996,4839048.653,-79.571189071,43.691364738000004,"{u'type': u'Point', u'coordinates': (-79.5711890772, 43.691364736)}"
72851,129,PO-00098,271-311,Grandravine Dr,Grandravine Dr,West,Arleta Ave,North,3698.0,7,,PPC,Existing,M0803698,0,304097.627,4845368.524,-79.508721182,43.748273321000006,"{u'type': u'Point', u'coordinates': (-79.5087211796, 43.7482733193)}"
72852,130,PO-00102,425,Alliance Ave,Alliance Ave,South,Rockcliffe Blvd,East,5523.0,5,,PPC,Existing,M1105523,0,305907.166,4837504.47,-79.486268789,43.677486406999996,"{u'type': u'Point', u'coordinates': (-79.4862687844, 43.6774864129)}"
72853,131,PO-00104,2,Buttonwood Ave,Weston Rd,South,Jane St,West,5528.0,5,,PPC,Existing,M1105528,0,304676.408,4839055.169,-79.501533154,43.691445542,"{u'type': u'Point', u'coordinates': (-79.5015331594, 43.6914455458)}"
72854,132,PO-00106,1677,Jane St,Jane St,South,Lawrence Ave W,East,5521.0,5,,PPC,Existing,M1205521,0,304512.672,4840304.756,-79.503564968,43.70269338600001,"{u'type': u'Point', u'coordinates': (-79.5035649716, 43.7026933923)}"
72855,133,PO-00112,770,Don Mills Rd,Don Mills Rd,West,St Dennis Dr,North,3884.0,16,,PPC,Existing,M2603884,0,317880.86600000004,4841891.56,-79.337663232,43.716861418,"{u'type': u'Point', u'coordinates': (-79.3376632309, 43.716861418)}"
72856,134,PO-00114,72,Wellesley St E,Wellesley St E,North,Church St,East,5510.0,13,Church-Wellesley Village,PPC,Existing,M2705510,0,314434.75800000003,4836221.59,-79.380531525,43.665877187,"{u'type': u'Point', u'coordinates': (-79.3805315227, 43.6658771861)}"
72857,135,PO-00118,2500,Bridletowne Crcl,Warden Ave,South,Bridletowne Crcl,East,5463.0,22,,PPC,Existing,M3905463,0,319415.98,4851253.763,-79.318357423,43.801103316,"{u'type': u'Point', u'coordinates': (-79.3183574215, 43.8011033146)}"
72858,136,PO-00120,1530,Albion Rd,Finch Ave W,South,Kipling Ave,West,69.0,1,,PPC,Existing,M0100069,0,298157.557,4844794.538,-79.582470318,43.743077325,"{u'type': u'Point', u'coordinates': (-79.582470321, 43.7430773309)}"
