_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
73479,1044,PO-00602,402,Roncesvalles Ave,Roncesvalles Ave,West,Howard Park Ave,South,13431.0,4,Roncesvalles Village,PPC,Existing,M1413431,0,308752.461,4834579.66,-79.451002493,43.651149524,"{u'type': u'Point', u'coordinates': (-79.4510024942, 43.6511495299)}"
73480,1045,PO-00611,,,Richmond St W,North,Portland St,East,13390.0,10,,PPC,Temporarily Removed,M2013390,0,312810.84,4834136.297,-79.40069858300001,43.647126031000006,"{u'type': u'Point', u'coordinates': (-79.4006985845, 43.6471260297)}"
73481,1046,PO-00620,1213,Danforth Ave,Danforth Ave,South,Ladysmith Ave,West,13412.0,14,THE DANNY Danforth Mosaic,PPC,Existing,M3013412,0,318381.373,4837970.859,-79.331550674,43.681561231,"{u'type': u'Point', u'coordinates': (-79.3315506716, 43.6815612369)}"
73482,1047,PO-00629,646,Bloor St W,Bloor St W,North,Euclid Ave,West,13477.0,11,Korea Town,PPC,Existing,M2013477,0,311637.891,4836045.4569999995,-79.415214124,43.664322733,"{u'type': u'Point', u'coordinates': (-79.4152141277, 43.664322739)}"
73483,1048,PO-00634,15,Gloucester St,Gloucester St,South,Gloucester Lane,East,13393.0,13,,PPC,Existing,M2713393,0,314122.885,4836311.853,-79.384397097,43.666693648999996,"{u'type': u'Point', u'coordinates': (-79.3843970991, 43.6666936482)}"
73484,1049,PO-00642,2,Roxborough St E,Roxborough St E,North,Yonge St,East,13398.0,11,Rosedale Main Street,PPC,Existing,M2713398,0,313697.976,4837558.646000001,-79.389645362,43.677921623,"{u'type': u'Point', u'coordinates': (-79.3896453591, 43.6779216253)}"
73485,1050,PO-00649,2,Orianna Dr,Orianna Dr,West,Horner Ave,North,13404.0,3,,PPC,Existing,M0613404,0,301033.35,4829083.441000001,-79.54665578,43.601676843999996,"{u'type': u'Point', u'coordinates': (-79.5466557818, 43.6016768491)}"
73486,1051,PO-00655,5609,Yonge St,Yonge St,East,Finch Ave E,North,13465.0,18,,PPC,Existing,M2413465,0,311604.155,4848915.534,-79.415469707,43.780169671,"{u'type': u'Point', u'coordinates': (-79.4154697097, 43.7801696734)}"
73487,1052,PO-00551,2,King St W,King St W,North,Yonge St,West,8796.0,13,Financial District,PPC,Existing,M2808796,0,314596.42699999997,4834355.808999999,-79.378560729,43.649080563000005,"{u'type': u'Point', u'coordinates': (-79.3785607251, 43.6490805633)}"
73488,1055,PO-00482,10,Niagara St,Wellington St W,South,Portland St,West,8357.0,10,,PPC,Existing,M2008357,0,312888.408,4833689.425,-79.399743746,43.643102733,"{u'type': u'Point', u'coordinates': (-79.3997437521, 43.6431027365)}"
73489,1056,PO-00361,2572,Lawrence Ave E,Lawrence Ave E,North,Midland Ave,West,8284.0,21,,PPC,Existing,M3808286,0,323693.854,4845766.459,-79.26538699,43.75161476,"{u'type': u'Point', u'coordinates': (-79.2653869955, 43.751614758)}"
73490,1057,PO-00374,1711,Mccowan Rd,Sheppard Ave E,South,Mccowan Rd,East,8298.0,23,Sheppard East Village,PPC,Existing,M4208298,0,324239.798,4849986.336,-79.25845502199999,43.789584141000006,"{u'type': u'Point', u'coordinates': (-79.2584550197, 43.7895841394)}"
73491,1061,PO-00740,2,Hoskin Ave,Hoskin Ave,North,Queen's Park Cres W,West,13568.0,11,,PPC,Existing,M2013568,0,313321.522,4836126.787,-79.394336832,43.665037425,"{u'type': u'Point', u'coordinates': (-79.3943368298, 43.6650374267)}"
73492,1062,PO-00748,19,Russell St,Russell St,South,Huron St,East,13576.0,11,,PPC,Existing,M2013576,0,312993.624,4835575.217,-79.39841098699999,43.660076243999995,"{u'type': u'Point', u'coordinates': (-79.3984109883, 43.6600762501)}"
73493,1063,PO-00417,4300,Keele St,Sentinel Rd,East,The Pond Rd,South,8259.0,7,,PPC,Existing,M0808259,0,304622.018,4847754.887,-79.502210744,43.769753736999995,"{u'type': u'Point', u'coordinates': (-79.5022107461, 43.7697537364)}"
